Lineage,Earliest date
A,2019-12-30
A.1,2020-02-22
A.2,2020-02-17
A.2.2,2020-03-17
A.2.3,2020-03-12
A.2.4,2020-02-04
A.2.5,2020-04-15
A.2.5.1,2020-04-14
A.2.5.2,2020-04-12
A.2.5.3,2021-02-23
A.3,2020-03-11
A.4,2020-03-11
A.5,2020-03-01
A.6,2020-01-23
A.7,2020-05-06
A.9,2020-03-21
A.11,2020-03-20
A.12,2020-04-10
A.15,2020-04-20
A.16,2020-02-15
A.17,2020-01-25
A.18,2020-06-21
A.19,2020-06-04
A.21,2020-04-10
A.22,2020-03-15
A.23,2020-08-14
A.23.1,2020-09-21
A.24,2020-03-22
A.25,2020-06-08
A.26,2020-03-31
A.27,2020-07-10
A.28,2020-07-28
A.29,2020-08-21
A.30,2021-02-13
B,2019-12-24
B.1,2020-01-01
B.1.1,2020-01-08
B.1.1.1,2020-03-02
C.1,2020-01-03
C.1.1,2020-11-25
C.1.2,2020-10-07
C.2,2020-06-09
C.2.1,2020-12-18
C.3,2020-05-20
C.4,2020-05-19
C.5,2020-09-02
C.6,2020-04-18
C.7,2020-05-11
C.8,2020-03-23
C.9,2020-07-01
C.10,2020-04-22
C.11,2020-04-01
C.12,2020-08-12
C.13,2020-03-29
C.14,2020-03-20
C.16,2020-06-26
C.17,2020-06-02
C.18,2020-07-01
C.19,2020-12-07
C.20,2020-10-26
C.21,2020-09-15
C.22,2020-04-03
C.23,2020-05-11
C.25,2020-03-20
C.26,2020-04-28
C.27,2020-04-19
C.28,2020-04-30
C.29,2020-06-25
C.30,2020-08-04
C.30.1,2020-10-05
C.31,2020-08-11
C.32,2020-05-07
C.33,2020-05-18
C.34,2020-08-06
C.35,2020-04-06
C.36,2020-03-13
C.36.1,2020-09-24
C.36.2,2020-10-16
C.36.3,2021-01-04
C.36.3.1,2020-06-03
C.37,2020-07-21
C.37.1,2021-03-18
C.38,2021-02-16
C.39,2020-12-16
C.40,2020-09-23
B.1.1.3,2020-03-18
B.1.1.4,2020-03-31
B.1.1.5,2020-03-16
B.1.1.7,2020-09-03
Q.1,2020-12-19
Q.2,2020-12-15
Q.3,2020-07-08
Q.4,2020-07-31
Q.5,2021-04-11
Q.6,2021-03-02
Q.7,2021-01-29
Q.8,2021-01-21
B.1.1.8,2020-03-15
B.1.1.10,2020-03-01
L.1,2020-03-26
L.2,2020-03-23
L.3,2020-07-07
L.4,2020-06-29
B.1.1.12,2020-06-02
B.1.1.13,2020-03-14
B.1.1.14,2020-04-16
B.1.1.15,2020-06-09
B.1.1.16,2020-03-11
B.1.1.17,2020-03-06
