sample_id,frequency_X,frequency_Y,lineage_X,lineage_Y,country,time,X_series,frequency_X+Y
hCoV-19/USA/CO-CDPHE-2102926628/2022,2.31E-05,0.979207038,AY.112,BA.1.1,USA,2022-01-13_2022-02-12,XS,0.979230107
hCoV-19/USA/MA-NEIDL-04483/2022,8.92E-05,0.978343117,BA.2.7,BA.1.1,USA,2022-01-08_2022-02-07,Others,0.97843228
hCoV-19/USA/CA-SEARCH-118250/2022,0.974428248,2.09E-05,BA.1.1,BA.2.3.1,USA,2022-01-20_2022-02-19,Others,0.974449192
hCoV-19/USA/NJ-CDC-ASC210687738/2022,0.964063616,6.55E-06,BA.1.1,BA.2.23,USA,2021-12-30_2022-01-29,XM,0.964070169
hCoV-19/USA/CO-CDC-MMB14003733/2022,5.94E-05,0.960659147,AY.112,BA.1.1,USA,2021-12-29_2022-01-28,XS,0.960718568
hCoV-19/USA/NM-CDC-LC0523457/2022,3.28E-05,0.950970665,AY.122.4,BA.1.1,USA,2021-12-27_2022-01-26,Others,0.951003464
hCoV-19/USA/MA-CDCBI-CRSP_CMRE7SLVKWGZKEQK/2022,0.001044699,0.945781815,AY.119,BA.1.1,USA,2021-12-25_2022-01-24,Others,0.946826514
hCoV-19/Australia/VIC41929/2022,0.00284468,0.927934762,AY.39.1,BA.1.1,Australia,2022-01-11_2022-02-10,Others,0.930779442
hCoV-19/USA/ID-IBL-805515/2022,0.913342347,5.68E-06,BA.1.1,BA.2.3.16,USA,2022-02-08_2022-03-10,Others,0.913348028
hCoV-19/Czech Republic/FNP1187/2022,0.823871256,0.086276263,BA.1.1,BA.2.9,Czech Republic,2022-01-20_2022-02-19,Others,0.910147519
hCoV-19/Philippines/PH-PGC-51022/2021,0.474327628,0.421760391,B.1.351,B.1.1.7,Philippines,2021-04-19_2021-05-19,Others,0.89608802
hCoV-19/Slovenia/90-012081-NM/2021,0.725395289,0.163278477,B.1.258.17,B.1.1.7,Slovenia,2021-02-08_2021-03-10,Others,0.888673766
hCoV-19/USA/CA-CDPH-500055450/2022,0.887932583,1.38E-05,BA.1.1,BA.2.3.16,USA,2022-02-11_2022-03-13,Others,0.887946398
hCoV-19/Austria/CeMM8128/2021,0.86031746,0.022222222,B.1.1.7,R.1,Austria,2021-03-20_2021-04-19,Others,0.882539683
hCoV-19/France/OCC-IHU-65147/2022,0.001959925,0.880559847,AY.4,BA.1.1,France,2022-01-08_2022-02-07,Others,0.882519772
