MERS_sequence_ID,Actual_lineages,CovRecomb_assigned
KT006149,lineage5,lineage3_lineage4
KT026453,lineage5,lineage3_lineage4
KT026454,lineage5,lineage3_lineage4
KT029139,lineage5,lineage3_lineage4
KT368826,lineage5,lineage1_lineage3
KT368833,lineage5,lineage3_lineage4
KT368834,lineage5,lineage3_lineage4
KT368835,lineage5,lineage3_lineage4
KT368836,lineage5,lineage3_lineage4
KT368837,lineage5,lineage3_lineage4
KT368838,lineage5,lineage3_lineage4
KT368839,lineage5,lineage3_lineage4
KT368840,lineage5,lineage3_lineage4
KT368841,lineage5,lineage3_lineage4
KT368842,lineage5,lineage3_lineage4
KT368846,lineage5,lineage3_lineage4
KT368847,lineage5,lineage3_lineage4
KT368848,lineage5,lineage3_lineage4
KT368858,lineage5,lineage3_lineage4
KT368859,lineage5,lineage3_lineage4
KT368860,lineage5,lineage3_lineage4
KT368861,lineage5,lineage3_lineage4
KT368862,lineage5,lineage3_lineage4
KT368863,lineage5,lineage3_lineage4
KT368864,lineage5,lineage3_lineage4
KT368865,lineage5,lineage3_lineage4
KT368868,lineage5,lineage3_lineage4
KT368869,lineage5,lineage3_lineage4
KT368870,lineage5,lineage3_lineage4
KT368871,lineage5,lineage3_lineage4
KT368872,lineage5,lineage3_lineage4
KT368873,lineage5,lineage3_lineage4
KT368874,lineage5,lineage3_lineage4
KT368876,lineage5,lineage3_lineage4
KT368877,lineage5,lineage3_lineage4
KT368878,lineage5,lineage3_lineage4
KT368879,lineage5,lineage3_lineage4
KT368880,lineage5,lineage3_lineage4
KT368881,lineage5,lineage3_lineage4
KT368882,lineage5,lineage3_lineage4
KT368883,lineage5,lineage3_lineage4
KT368884,lineage5,lineage3_lineage4
KT368885,lineage5,lineage3_lineage4
KT368889,lineage5,lineage3_lineage4
KT368886,lineage5,lineage3_lineage4
KC667074.1,lineage1,lineage1_lineage1
KF192507.1,lineage1,lineage1_lineage1
KF600613.1,lineage1,lineage1_lineage1
KF917527.1,lineage1,lineage1_lineage1
KF958702.1,lineage1,lineage1_lineage1
KJ556336.1,lineage1,lineage1_lineage1
KJ156881.1,lineage1,lineage1_lineage1
KJ156944.1,lineage1,lineage1_lineage1
KJ156949.1,lineage1,lineage1_lineage1
KJ156952.1,lineage1,lineage1_lineage1
KJ361502.1,lineage2,lineage2_lineage2
KJ156866.1,lineage2,lineage2_lineage2
KJ156869.1,lineage2,lineage2_lineage2
KJ650295.1,lineage2,lineage2_lineage2
KJ650296.1,lineage2,lineage2_lineage2
KJ650297.1,lineage2,lineage2_lineage2
KJ713299.1,lineage2,lineage2_lineage2
KM015348.1,lineage2,lineage2_lineage2
KM210277.1,lineage2,lineage2_lineage2
KM210278.1,lineage2,lineage2_lineage2
KP209306.1,lineage2,lineage2_lineage2
KP209307.1,lineage2,lineage2_lineage2
KP209308.1,lineage2,lineage2_lineage2
KP209309.1,lineage2,lineage2_lineage2
KP209310.1,lineage2,lineage2_lineage2
KP209311.1,lineage2,lineage2_lineage2
KP209312.1,lineage2,lineage2_lineage2
KP209313.1,lineage2,lineage2_lineage2
KP719927.1,lineage2,lineage2_lineage2
KP719929.1,lineage2,lineage2_lineage2
KP719930.1,lineage2,lineage2_lineage2
KP719931.1,lineage2,lineage2_lineage2
KP719932.1,lineage2,lineage2_lineage2
KP719933.1,lineage2,lineage2_lineage2
KF600627.1,lineage2,lineage2_lineage2
KF600630.1,lineage2,lineage2_lineage2
KF600632.1,lineage2,lineage2_lineage2
KF600634.1,lineage2,lineage2_lineage2
KF600644.1,lineage2,lineage2_lineage2
KF600645.1,lineage2,lineage2_lineage2
KF600647.1,lineage2,lineage2_lineage2
KF600651.1,lineage2,lineage2_lineage2
KF600652.1,lineage2,lineage2_lineage2
KF745068.1,lineage2,lineage2_lineage2
KF186564.1,lineage2,lineage2_lineage2
KF186565.1,lineage2,lineage2_lineage2
KF186566.1,lineage2,lineage2_lineage2
KF186567.1,lineage2,lineage2_lineage2
KJ813439,lineage3,lineage1_lineage2
KM027262,lineage3,lineage1_lineage2
KF600628,lineage3,lineage1_lineage2
KF961221,lineage3,lineage1_lineage2
KF961222,lineage3,lineage1_lineage2
KJ156934,lineage3,lineage1_lineage2
KT368890.1,lineage3,lineage3_lineage3
KT368825.1,lineage3,lineage3_lineage3
KT368827.1,lineage3,lineage3_lineage3
KT368828.1,lineage3,lineage3_lineage3
KT368843.1,lineage3,lineage3_lineage3
KT368844.1,lineage3,lineage3_lineage3
