sample_id,lineage_X,lineage_Y,mutation_pattern,raw_p_value,adjusted_p_value,X_mutations,Y_mutations,shared_mutations,denovo_mutations
OU195084.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OD983653.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU195769.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU023575.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.3712743853105212e-45,1.7305482742618777e-42,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/9430_T/13548_T/13945_T/20410_A/21618_T/21991_---/22816_A/23208_T/25855_T/28095_T
OU196925.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU091675.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU198014.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU106081.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU205038.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU143858.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU205621.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU179685.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU206870.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU179977.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU207138.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU180283.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,1457_T/2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU207461.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,1457_T/2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU182430.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.3712743853105212e-45,1.4398381045760474e-42,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU212115.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU182507.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU212862.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU183850.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/6522_A/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU215003.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU192963.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/17218_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU215605.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU192727.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.3712743853105212e-45,1.441209378961358e-42,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T/28232_T
OU217346.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU193302.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU218290.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU193745.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU219033.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
OU193694.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,1.5321398781730843e-46,1.6072147322035654e-43,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/20410_A/21991_---/23208_T/25855_T/28095_T
OU225470.1,B.1.1.7*,B.1.177.18,YYYYXXXXXXXXXXXXXXXXX,9.545640425335194e-45,1.0022922446601954e-41,21765_------/23063_T/23271_A/23604_A/23709_T/24506_G/24914_C/27972_T/28048_T/28111_G/28280_C/28281_T/28282_A/28881_A/28882_A/28883_C/28977_T,445_C/6286_T/10323_G/21255_C,3037_T/14408_T/23403_G,2019_C/4999_T/8090_T/9430_T/13945_T/16260_T/20410_A/21991_---/23208_T/25521_T/25855_T/28095_T
